School Name,Absent <=5D Percentage,Absent 6D-15D Percentage,Absent >15D Percentage
Pinckneyville Middle School,72.7,19.6,7.8
Meadowcreek High School,63.3,16.0,20.7
Richards Middle School,85.9,11.3,2.7
Phoenix High School,44.4,21.8,33.7
Dacula Elementary School,69.7,25.2,5.1
Walnut Grove Elementary School,42.1,43.6,14.2
Craig Elementary School,79.5,17.4,3.1
Collins Hill High School,73.3,15.5,11.2
Harbins Elementary School,72.9,21.7,5.3
Crews Middle School,85.5,10.6,3.9
Meadowcreek Elementary School,55.4,31.5,13.0
Freeman's Mill Elementary School,77.2,19.6,3.2
Osborne Middle School,62.7,27.5,9.8
Corley Elementary School,64.9,23.1,12.0
Mulberry Elementary School,71.9,22.6,5.5
Lanier Middle School,75.6,19.4,5.0
Lovin Elementary School,75.8,19.5,4.8
Knight Elementary School,79.5,16.1,4.5
Sweetwater Middle School,74.5,17.5,8.0
Five Forks Middle School,88.5,9.5,1.9
Beaver Ridge Elementary School,66.0,26.3,7.7
Annistown Elementary School,70.3,19.3,10.4
Shiloh Middle School,87.4,9.6,2.9
Hopkins Elementary School,66.2,24.5,9.4
Norton Elementary School,70.6,20.6,8.8
Minor Elementary School,62.1,27.6,10.3
McKendree Elementary School,82.7,12.9,4.4
Shiloh Elementary School,75.7,16.6,7.7
Nesbit Elementary School,48.2,31.8,20.0
Fort Daniel Elementary School,75.0,21.4,3.7
Sugar Hill Elementary School,70.1,24.2,5.7
Hull Middle School,93.8,4.6,1.6
Mason Elementary School,77.5,17.3,5.2
Stripling Elementary School,72.5,19.2,8.3
Berkmar Middle School,71.7,20.9,7.5
Ivy Creek Elementary School,73.7,22.1,4.2
Rosebud Elementary School,76.4,18.2,5.4
Gwin Oaks Elementary School,83.6,13.3,3.2
Dacula Middle School,80.9,14.6,4.5
Arcado Elementary School,76.1,19.5,4.3
Gwinnett InterVention Education (GIVE) Center East,70.5,15.4,14.1
Cedar Hill Elementary School,62.3,27.6,10.1
Pharr Elementary School,84.1,13.7,2.2
Simonton Elementary School,59.9,26.8,13.2
Magill Elementary School,62.9,26.3,10.8
Partee Elementary School,79.2,14.4,6.3
Jones Middle School,69.3,20.8,9.9
Puckett's Mill Elementary School,78.2,17.8,3.9
Simpson Elementary School,92.0,7.5,0.5
Kanoheda Elementary School,66.6,23.1,10.3
McConnell Middle School,80.3,16.4,3.3
Taylor Elementary School,70.7,23.7,5.6
Sycamore Elementary School,63.8,30.4,5.8
Trip Elementary School,84.0,14.3,1.8
Cooper Elementary School,77.8,19.6,2.6
Patrick Elementary School,70.9,22.1,7.0
Parsons Elementary School,87.7,10.5,1.8
Oakland Meadow School,71.2,15.3,13.6
Peachtree Ridge High School,79.2,12.7,8.1
Alcova Elementary School,71.6,22.6,5.8
Bay Creek Middle School,81.4,14.3,4.3
Grace Snell Middle School,85.6,10.6,3.8
Ferguson Elementary School,77.6,14.8,7.7
Roberts Elementary School,90.0,9.0,1.0
Jenkins Elementary School,68.4,23.6,8.0
Anderson-Livsey Elementary School,71.7,21.4,6.9
Burnette Elementary School,84.1,12.5,3.3
Lanier High School,65.9,24.2,9.9
"Gwinnett School of Mathematics, Science and Technology",94.9,4.1,1.0
New Life Academy of Excellence,78.5,16.7,4.9
Berkmar High School,63.9,17.9,18.2
Dyer Elementary School,75.9,19.3,4.8
Lilburn Middle School,67.0,18.0,15.0
Alford Elementary,70.6,21.6,7.8
Starling Elementary School,85.2,12.3,2.5
Moore Middle School,72.9,18.7,8.4
Gwinnett Intervention Education Center (GIVE) West,60.5,17.0,22.5
Northbrook Middle School,89.7,7.4,3.0
Duncan Creek Elementary,72.0,23.7,4.3
Couch Middle School,83.4,12.2,4.4
Gwinnett Online Campus,90.5,8.8,0.6
North Metro Academy of Performing Arts,82.2,14.2,3.7
Winn Holt Elementary School,63.2,26.8,10.0
Level Creek Elementary School,85.6,12.8,1.6
Mountain View High School,70.0,22.0,8.0
Radloff Middle School,61.0,23.7,15.3
North Gwinnett Middle School,76.9,17.4,5.8
Chesney Elementary School,84.0,12.7,3.3
Twin Rivers Middle School,73.5,19.2,7.3
Archer High School,74.0,17.7,8.4
Woodward Mill Elementary School,71.8,23.1,5.2
Baggett Elementary School,60.1,29.9,10.1
Graves Elementary School,63.7,23.4,12.9
Jordan Middle School,64.3,24.2,11.5
Discovery High School,62.6,20.3,17.1
Coleman Middle School,92.7,6.2,1.0
Baldwin Elementary,42.3,36.3,21.4
International Transition Center,56.3,30.2,13.5
Paul Duke STEM High School,70.5,18.1,11.3
Bethesda Elementary School,71.2,22.3,6.5
Grayson Elementary School,81.5,16.6,1.9
Harmony Elementary School,31.0,42.7,26.3
Snellville Middle School,85.5,10.9,3.6
South Gwinnett High School,72.0,15.2,12.8
Britt Elementary School,72.7,20.3,7.0
Harris Elementary School,76.4,18.3,5.3
Camp Creek Elementary School,80.2,16.0,3.8
Central Gwinnett High School,48.0,22.7,29.3
Dacula High School,67.0,18.3,14.7
Norcross Elementary School,61.0,28.1,10.9
Summerour Middle School,73.1,18.9,8.0
North Gwinnett High School,78.2,14.5,7.3
Lawrenceville Elementary School,66.0,24.8,9.2
Peachtree Elementary School,80.1,15.8,4.1
Suwanee Elementary School,84.7,12.6,2.7
Duluth High School,65.2,17.3,17.5
Lilburn Elementary School,61.9,25.1,13.1
Cornelia Elementary School,60.0,30.4,9.6
Level Grove Elementary School,58.8,36.8,4.5
Habersham Ninth Grade Academy,64.7,29.5,5.9
Hilliard A. Wilbanks Middle School,50.3,34.1,15.5
Habersham Success Academy,37.5,33.3,29.2
Clarkesville Elementary School,49.0,38.8,12.2
North Habersham Middle School,58.2,31.0,10.7
Demorest Elementary School,54.5,33.5,12.0
South Habersham Middle School,64.6,27.2,8.2
Baldwin Elementary School,60.9,35.7,3.4
Habersham Central High School,64.6,26.8,8.6
Woodville Elementary School,53.0,39.1,7.9
Fairview Elementary School,51.2,28.4,20.4
Hazel Grove Elementary School,58.3,34.3,7.3
C. W. Davis Middle School,49.8,36.1,14.0
Martin Elementary School,55.4,36.1,8.5
Chestatee High School,42.6,29.9,27.5
Sugar Hill Elementary,50.1,38.3,11.7
Lanier College and Career Academy,18.9,24.8,56.3
Chicopee Elementary School,42.6,40.7,16.7
World Language Academy,57.3,37.3,5.5
Myers Elementary School,51.1,40.5,8.4
West Hall High School,48.7,31.8,19.5
Spout Springs Elementary School,58.6,34.8,6.6
Mount Vernon Elementary School,66.0,27.5,6.5
Friendship Elementary School,52.2,37.5,10.3
Chestatee Middle School,45.4,34.5,20.1
Flowery Branch High,32.4,34.2,33.4
Wauka Mountain Elementary School,58.1,34.4,7.5
East Hall Middle School,45.5,34.2,20.3
West Hall Middle School,37.9,35.2,26.9
North Hall Middle School,45.8,36.9,17.3
Cherokee Bluff Middle,49.1,36.1,14.8
Cherokee Bluff High School,46.5,33.4,20.1
World Language Academy Middle School,56.8,32.0,11.2
White Sulphur Elementary School,47.4,40.1,12.6
East Hall High School,44.1,33.0,22.8
North Hall High School,37.9,33.2,28.9
Flowery Branch Elementary School,51.0,38.0,11.1
Oakwood Elementary School,56.5,33.7,9.8
Lanier Elementary School,55.7,35.0,9.3
Riverbend Elementary School,52.2,39.2,8.6
Chestnut Mountain Elementary School,60.4,33.5,6.1
Lula Elementary School,41.8,42.5,15.8
Sardis Elementary School,55.1,36.6,8.3
South Hall Middle School,49.2,33.7,17.0
Lyman Hall Elementary School,44.8,32.8,22.4
McEver Elementary School,58.4,33.0,8.6
Tadmore Elementary School,47.1,41.1,11.8
Hancock Central Middle School,85.9,10.9,3.3
Hancock Central High School,84.3,12.3,3.4
Tallapoosa Primary School,55.9,35.1,9.0
Buchanan Elementary School,60.3,34.1,5.6
Haralson County Middle School,57.4,34.0,8.6
Haralson County Rebel Academy,42.5,40.0,17.5
Buchanan Primary School,61.2,32.5,6.3
Haralson County High School,45.7,39.0,15.3
West Haralson Elementary School,47.6,39.2,13.2
Creekside School,28.6,42.7,28.6
Park Elementary School,35.1,45.2,19.8
Mulberry Creek Elementary School,48.5,39.0,12.5
New Mountain Hill Elementary School,38.9,45.9,15.2
Harris County High School,33.4,33.8,32.9
Harris County Carver Middle School,33.8,36.3,29.9
North Hart Elementary School,54.3,34.3,11.4
Hart County Middle School,33.9,39.1,26.9
South Hart Elementary School,52.3,41.1,6.6
Hart County High School,48.8,35.9,15.3
Hartwell Elementary School,45.9,42.5,11.6
Heard County Middle School,41.4,38.8,19.8
Heard County High School,60.4,23.4,16.2
Centralhatchee Elementary School,56.8,34.2,9.0
Ephesus Elementary School,47.3,42.5,10.3
Ola Elementary School,67.2,27.2,5.6
Union Grove High,79.8,14.4,5.8
Luella High School,38.4,23.5,38.1
Dutchtown High,39.0,28.6,32.4
Luella Elementary School,61.1,26.9,12.0
Dutchtown Elementary School,68.0,23.8,8.2
Cotton Indian Elementary School,55.1,29.7,15.2
Wesley Lakes Elementary School,53.4,30.8,15.8
Pate's Creek Elementary School,52.1,33.0,14.9
Pleasant Grove Elementary School,58.2,39.2,2.6
East Lake Elementary,75.0,18.9,6.1
Dutchtown Middle School,58.3,23.0,18.7
Walnut Creek Elementary,53.5,28.6,17.9
Rocky Creek Elementary,52.3,30.8,16.9
Locust Grove Middle,64.1,28.3,7.6
Locust Grove High,35.8,27.9,36.3
Hampton Middle School,59.5,25.8,14.7
Oakland Elementary School,32.5,35.0,32.5
Austin Road Elementary School,30.8,36.7,32.5
Stockbridge High School,37.3,27.7,35.0
Unity Grove Elementary School,48.1,32.8,19.0
Ola High School,55.2,27.5,17.2
Hampton High School,36.8,29.6,33.6
Eagle's Landing High School,43.1,27.9,29.0
Eagle's Landing Middle School,54.5,27.7,17.8
Austin Road Middle School,68.2,21.5,10.2
Red Oak Elementary School,53.9,29.5,16.6
New Hope Elementary,67.4,27.5,5.1
Tussahaw Elementary,37.9,35.4,26.8
Flippen Elementary School,62.4,27.7,9.9
Ola Middle School,77.3,15.9,6.7
Rock Spring Elementary,54.2,32.4,13.4
Luella Middle School,65.6,22.7,11.7
Union Grove Middle,68.3,21.8,9.9
EXCEL Academy,63.0,23.1,13.9
Hampton Elementary School,40.2,35.8,24.0
Smith-Barnes Elementary School,42.0,34.5,23.5
Stockbridge Elementary School,42.2,39.4,18.5
Locust Grove Elementary School,47.6,37.3,15.1
Stockbridge Middle School,48.2,31.9,19.9
Eagle Springs Elementary,46.8,36.3,16.9
C. B. Watson Primary School,38.1,42.7,19.2
Lake Joy Primary School,50.9,38.6,10.4
Huntington Middle School,44.8,31.5,23.7
Mossy Creek Middle School,32.5,41.1,26.4
Veterans High School,31.3,33.8,34.9
Langston Road Elementary School,38.5,44.3,17.2
Pearl Stephens Elementary School,34.2,43.2,22.6
Houston County High School,29.7,36.1,34.1
Quail Run Elementary School,44.7,39.8,15.5
Feagin Mill Middle School,45.8,34.4,19.8
Matthew Arthur Elementary School,48.9,37.8,13.3
Perry Middle School,37.8,36.7,25.6
Thomson Middle School,45.9,33.7,20.4
Lake Joy Elementary School,53.7,33.3,13.0
Bonaire Middle School,34.4,39.2,26.4
Hilltop Elementary School,45.9,37.9,16.2
Bonaire Elementary School,47.2,39.1,13.7
Northside Middle School,38.9,35.6,25.6
Perry High School,26.9,28.0,45.2
Northside High School,75.2,18.9,5.9
Parkwood Elementary School,38.7,38.8,22.5
Tucker Elementary School,40.2,40.6,19.1
Kings Chapel Elementary School,34.6,45.5,19.9
Lindsey Elementary School,28.5,38.6,33.0
Warner Robins High School,34.6,31.5,33.9
Miller Elementary School,40.7,36.3,22.9
Shirley Hills Elementary School,40.6,36.8,22.6
Warner Robins Middle School,48.7,30.9,20.4
Irwin County Middle School,38.9,44.8,16.3
Irwin County Elementary School,59.9,31.0,9.2
Irwin County High School,39.0,37.2,23.7
West Jackson Elementary School,61.9,31.7,6.4
East Jackson Elementary School,54.6,35.4,10.0
East Jackson Comprehensive High School,48.1,30.1,21.8
Jackson County Comprehensive High School,52.6,29.4,18.0
East Jackson Middle School,53.6,31.9,14.4
Gum Springs Elementary School,64.3,30.7,5.0
West Jackson Middle School,44.0,38.0,17.9
Maysville Elementary School,48.2,39.8,12.0
North Jackson Elementary School,53.1,37.6,9.3
South Jackson Elementary School,49.6,36.6,13.7
Washington Park Elementary School,58.6,36.0,5.4
Jasper County High School,53.0,31.3,15.7
Jasper County Primary School,47.5,40.5,12.0
Jasper County Middle School,53.4,36.2,10.4
Jeff Davis Primary School,34.3,41.6,24.1
Jeff Davis Middle School,38.1,39.3,22.5
Jeff Davis Elementary School,43.3,36.7,20.0
Jeff Davis High School,26.2,38.5,35.3
Jefferson County High School,63.9,27.3,8.8
Carver Elementary School,53.9,33.0,13.1
Louisville Academy,45.4,36.9,17.7
Wrens Elementary School,51.4,34.5,14.1
Jenkins County Middle School,38.7,33.8,27.5
Jenkins County High School,36.8,42.9,20.3
Jenkins County Elementary School,44.7,40.1,15.3
Johnson County Middle School,43.7,41.3,15.0
Johnson County Elementary School,47.0,36.1,16.9
Clifton Ridge Middle School,52.8,31.1,16.0
Mattie Wells Elementary School,43.7,42.0,14.3
Gray Station Middle School,62.0,29.5,8.5
Turner Woods Elementary School,59.2,34.9,6.0
Jones County High School,44.3,34.7,21.0
Dames Ferry Elementary School,61.2,31.9,7.0
Gray Elementary School,57.6,35.7,6.8
Lamar County Elementary School,56.0,34.3,9.6
Lamar County High School,77.2,17.5,5.3
Lamar County Middle School,62.4,28.3,9.4
Lamar County Primary School,60.0,35.9,4.1
Lanier County Middle School,59.2,32.8,8.0
Lanier County Elementary School,51.8,38.3,9.9
Lanier County High School,38.2,38.2,23.7
Lanier County Primary School,48.4,43.6,8.0
Southwest Laurens Elementary,41.7,44.3,14.0
East Laurens Primary School,28.2,44.2,27.6
East Laurens Elementary School,39.1,47.1,13.9
West Laurens High School,56.0,28.5,15.5
East Laurens High School,44.1,27.4,28.5
Northwest Laurens Elementary,49.6,41.0,9.3
East Laurens Middle School,40.7,40.9,18.3
West Laurens Middle School,54.4,33.8,11.8
Lee County Middle School West,54.9,31.0,14.1
Lee County Elementary School,54.2,35.7,10.1
Lee County Middle School East,44.4,38.5,17.1
Lee County Primary School,52.1,38.3,9.6
Lee County High School,59.9,30.0,10.2
Kinchafoonee Primary School,59.0,34.4,6.5
Lee High School 9th Grade Campus,53.2,34.1,12.7
Twin Oaks Elementary,56.1,35.1,8.8
Waldo Pafford Elementary School,40.0,36.9,23.1
Midway Middle School,60.1,21.7,18.2
Bradwell Institute,30.5,23.9,45.6
Button Gwinnett Elementary School,53.2,32.4,14.5
Joseph Martin Elementary School,58.1,26.4,15.4
Liberty County High School,28.6,28.7,42.8
Taylors Creek Elementary School,53.7,33.3,12.9
Snelson-Golden Middle School,40.0,31.1,28.9
Frank Long Elementary School,42.1,31.7,26.2
Lewis Frasier Middle School,52.2,26.7,21.1
Lincoln County Middle School,43.6,39.0,17.4
Lincoln County High School,23.4,36.0,40.6
Lincoln County Elementary School,37.9,36.1,26.0
Smiley Elementary School,58.3,34.2,7.5
Long County High School,66.9,23.3,9.8
Long County Middle School,63.0,29.9,7.1
McClelland Elementary School,61.9,29.6,8.5
Pine Grove Middle School,60.7,32.9,6.4
Moulton-Branch Elementary School,55.5,40.2,4.3
Hahira Elementary School,65.2,31.3,3.5
Pine Grove Elementary School,70.5,26.4,3.1
Clyattville Elementary School,53.1,35.8,11.1
Lowndes Middle School,47.6,36.3,16.1
Hahira Middle School,56.9,37.7,5.4
Lowndes High School,52.0,31.9,16.2
Lumpkin County High School,52.7,31.1,16.2
Blackburn Elementary School,42.2,46.3,11.5
Long Branch Elementary School,44.4,42.2,13.3
Lumpkin County Middle School,42.2,39.2,18.6
Lumpkin County Elementary School,60.4,33.8,5.8
Macon County Elementary School,49.6,30.7,19.8
Macon County Middle School,82.0,13.1,4.9
Macon County High School,71.0,22.0,7.0
Hull-Sanford Elementary School,50.6,39.5,9.8
Danielsville Elementary School,40.7,40.1,19.2
Colbert Elementary School,55.1,35.6,9.3
Madison County Middle School,42.1,38.2,19.6
Comer Elementary School,44.4,40.8,14.7
Ila Elementary School,36.3,40.2,23.5
Madison County High School,40.0,35.6,24.3
L. K. Moss Elementary School,57.6,34.1,8.4
Marion County Middle/High School,72.5,21.7,5.8
Thomson-McDuffie Middle School,78.5,17.7,3.8
Norris Elementary School,61.2,28.4,10.4
Maxwell Elementary School,55.6,32.5,11.8
Dearing Elementary School,50.2,28.4,21.4
Thomson High School,61.6,24.2,14.2
Thomson Elementary School,55.2,32.7,12.1
McIntosh County Middle School,42.4,34.1,23.5
McIntosh Academy,32.8,36.0,31.3
Todd Grant Elementary School,42.9,44.2,12.9
Unity Elementary School (PK-5),46.4,36.5,17.0
Good Sheperd Therapeutic Center,100.0,0.0,0.0
Greenville High School,69.3,28.1,2.6
Greenville Middle School,47.4,37.0,15.6
Manchester High School,44.1,30.3,25.6
Manchester Middle School,54.2,30.9,14.9
Miller County Elementary School,43.4,41.0,15.6
Miller County High School,39.5,35.5,25.0
Miller County Middle School,19.2,23.8,57.0
Baconton Community Charter School,69.7,26.2,4.1
Mitchell County Elementary School,80.7,16.0,3.3
Mitchell County Middle School,96.9,3.1,0.0
Mitchell County Primary School,78.1,14.8,7.1
Mitchell County High School,98.9,1.1,0.0
T.G. Scott Elementary School,61.9,31.4,6.7
Katherine B. Sutton Elementary School,61.1,34.3,4.6
"Monroe County Middle School, Banks Stephens Campus",61.3,29.4,9.4
Mary Persons High School,44.2,33.6,22.2
Samuel E. Hubbard Elementary School,61.1,32.5,6.5
Montgomery County Middle School,56.1,34.3,9.6
Montgomery County Elementary School,43.2,42.0,14.8
Montgomery County High School,52.3,33.0,14.7
Morgan County Elementary School,57.9,31.9,10.2
Morgan County High School,50.0,29.7,20.3
Morgan County Primary School,50.8,38.4,10.7
Morgan County Middle School,45.5,35.7,18.9
Woodlawn Elementary School,60.5,33.8,5.6
Pleasant Valley Innovative School,39.3,31.5,29.2
North Murray High School,30.7,29.2,40.1
Murray County High School,33.5,29.9,36.6
Coker Elementary School,50.7,37.4,11.8
Eton Elementary School,41.9,45.9,12.2
Bagley Middle School,51.3,35.5,13.2
Chatsworth Elementary School,56.1,36.4,7.5
Spring Place Elementary School,59.1,31.0,9.9
Gladden Middle School,48.0,33.4,18.6
Northwest Elementary School,47.3,36.7,15.9
Midland Middle School,86.6,10.7,2.7
Fox Elementary School,17.8,37.1,45.1
North Columbus Elementary,62.8,31.2,6.0
Eagle Ridge Academy,67.1,26.0,6.9
Aaron Cohn Middle School,93.0,6.9,0.2
Fort Middle School,91.1,7.3,1.6
Brewer Elementary School,36.5,31.8,31.8
Blackmon Road Middle School,82.2,15.6,2.2
Veterans Memorial Middle School,40.7,33.0,26.3
Dorothy Height Elementary School,31.0,30.4,38.6
Shaw High School,50.2,28.7,21.2
Downtown Elementary Magnet Academy,30.4,42.0,27.5
Baker Middle School,26.8,27.3,45.9
East Columbus Magnet Academy,98.7,0.7,0.5
Spencer High School,36.6,22.9,40.5
Double Churches Middle School,80.7,12.3,7.0
Midland Academy,68.6,24.3,7.1
Rainey McCullers School of the Arts,76.1,20.9,3.1
Georgetown Elementary School,48.2,30.4,21.4
Kendrick High School,72.4,18.9,8.7
Reese Road Leadership Academy,57.4,32.0,10.7
Arnold Middle School,48.9,23.5,27.6
Blanchard Elementary School,58.4,30.5,11.1
Clubview Elementary School,66.8,26.8,6.4
Double Churches Elementary School,60.2,31.2,8.6
Hardaway High School,46.1,25.3,28.6
Key Elementary School,37.2,33.8,28.9
Rothschild Leadership Academy School,98.8,1.0,0.2
Columbus High School,93.6,6.0,0.4
Britt David Elementary Computer Magnet Academy,85.5,12.7,1.8
Forrest Road Elementary School,47.4,35.8,16.8
Rigdon Road Elementary School,43.7,29.8,26.5
St. Marys Video and Communication Technology,33.4,35.5,31.1
Waddell Elementary School,37.3,39.0,23.7
Lonnie Jackson Academy,27.2,31.9,40.9
Johnson Elementary School,37.2,34.3,28.5
Mathews Elementary School,63.0,32.0,5.0
Allen Elementary School,39.0,38.4,22.6
River Road Elementary School,44.6,36.4,19.1
South Columbus Elementary School,29.4,37.5,33.1
Wynnton Elementary School,51.8,29.4,18.8
Carver High School,19.7,13.2,67.1
Dawson Elementary School,46.9,30.4,22.7
Eddy Middle School,26.3,31.4,42.3
Gentian Elementary School,49.9,30.8,19.3
Jordan Vocational High School,48.9,22.3,28.8
Wesley Heights Elementary School,59.0,25.2,15.7
Oak Hill Elementary School,46.3,38.1,15.6
Rocky Plains Elementary School,43.4,35.3,21.3
South Salem Elementary School,38.6,36.6,24.7
Live Oak Elementary,50.6,27.0,22.3
Clements Middle School,29.2,32.4,38.4
Flint Hill Elementary,32.9,31.6,35.5
Newton County Theme School at Ficquett,71.2,25.5,3.4
Fairview Elementary,50.2,32.6,17.2
Newton High School,83.8,10.6,5.6
Cousins Middle School,32.6,34.1,33.3
Middle Ridge Elementary School,30.2,33.0,36.7
Alcovy High School,76.0,15.6,8.4
Eastside High School,85.7,11.3,3.1
West Newton Elementary School,41.5,32.9,25.7
Indian Creek Middle School,26.1,31.5,42.4
East Newton Elementary School,59.3,29.7,10.9
Livingston Elementary School,47.2,31.8,21.0
Mansfield Elementary School,56.2,36.1,7.7
Heard-Mixon Elementary School,50.5,32.1,17.4
Porterdale Elementary School,40.9,36.5,22.7
Rocky Branch Elementary School,57.4,34.6,8.0
North Oconee High School,30.6,40.9,28.5
High Shoals Elementary School,53.4,37.3,9.3
Oconee County Primary School,56.0,34.9,9.0
Oconee County Middle School,37.4,40.3,22.3
Malcom Bridge Elementary School,56.1,35.1,8.8
Malcom Bridge Middle School,27.5,44.8,27.6
Oconee County High School,35.0,39.2,25.9
Dove Creek Elementary School,52.3,37.6,10.1
Oconee County Elementary School,51.9,34.5,13.6
Colham Ferry Elementary School,49.1,37.9,13.1
Oglethorpe County Middle School,41.4,37.5,21.1
Oglethorpe County Elementary School,37.4,37.0,25.6
Oglethorpe County Primary School,42.0,37.5,20.4
Oglethorpe County High School,41.8,33.7,24.4
Hiram High School,59.3,25.3,15.4
Bessie L. Baggett Elementary,45.7,37.7,16.6
Lillian C. Poole Elementary School,46.6,39.9,13.6
South Paulding High School,46.5,30.5,22.9
Sammy McClure Sr. Middle School,52.1,35.5,12.5
North Paulding High School,56.6,33.0,10.4
Burnt Hickory Elementary School,57.6,35.4,7.0
WC Abney Elementary,53.6,36.8,9.6
McGarity Elementary School,47.2,37.5,15.3
South Paulding Middle School,41.9,36.2,21.9
Floyd L. Shelton Elementary School at Crossroad,63.0,32.1,4.9
Sam D. Panter Elementary School,42.1,43.2,14.7
Nebo Elementary School,43.3,41.6,15.2
C. A. Roberts Elementary School,47.9,40.5,11.7
Lena Mae Moses Middle School,53.1,33.8,13.1
Roland W. Russom Elementary,56.4,33.5,10.1
Sara M. Ragsdale Elementary,34.2,44.3,21.5
P. B. Ritch Middle School,57.6,30.7,11.7
East Paulding High School,51.5,30.5,18.0
J. A. Dobbins Middle School,47.4,31.3,21.3
Connie Dugan Elementary School,43.9,39.9,16.2
Hal Hutchens Elementary,46.5,38.6,14.9
East Paulding Middle School,44.0,35.0,21.0
Irma C. Austin Middle School,51.5,31.8,16.8
Carl Scoggins Sr. Middle school,40.0,35.7,24.3
Dallas Elementary School,37.6,36.2,26.3
New Georgia Elementary School,39.4,37.8,22.8
Herschel Jones Middle School,49.8,35.1,15.1
Paulding County High School,44.2,30.6,25.2
Hiram Elementary School,57.1,28.7,14.2
Kay Road Elementary,43.0,38.2,18.8
Fort Valley Middle School,34.8,38.3,26.9
Byron Middle School,40.7,35.0,24.3
Hunt Elementary School,46.6,35.4,17.9
Byron Elementary School,50.9,36.4,12.7
Peach County High School,39.4,31.5,29.2
Hill City Elementary School,61.6,32.7,5.7
Pickens County Junior High School,67.4,25.5,7.0
