School Name,Absent <=5D Percentage,Absent 6D-15D Percentage,Absent >15D Percentage
Pickens County High School,50.0,34.8,15.2
Jasper Middle School,57.4,33.4,9.1
Tate Elementary School,58.4,35.9,5.7
Pierce County High School,26.2,33.7,40.1
Pierce County Middle School,36.8,39.2,24.0
Blackshear Elementary School,53.1,34.6,12.3
Patterson Elementary School,39.6,45.5,14.9
Pike County Elementary School,45.7,40.2,14.1
Pike County Primary School,42.2,45.5,12.3
Pike County High School,40.5,35.1,24.4
Pike County Middle School,37.0,44.9,18.1
Zebulon High School,58.8,15.7,25.5
Rockmart High School,35.6,38.3,26.1
Cedartown Middle School,50.4,35.0,14.6
Rockmart Middle School,44.7,37.2,18.1
Cherokee Elementary School,58.3,33.6,8.2
Northside Elementary,69.8,25.4,4.8
Harpst Academy,91.0,7.4,1.6
Van Wert Elementary School,33.9,41.2,24.9
Youngs Grove Elementary School,50.9,37.7,11.4
Cedartown High School,25.3,37.0,37.7
Pulaski County Middle School,38.7,34.5,26.8
Hawkinsville High School,39.9,27.6,32.5
Pulaski County Elementary School,43.0,37.8,19.2
Putnam County Middle School,26.6,38.6,34.7
Putnam County Primary School,37.1,41.9,21.0
Putnam County Elementary School,36.1,44.1,19.8
Putnam County High School,42.0,28.8,29.2
Quitman County High School,51.4,24.3,24.3
Quitman County Elementary,62.8,20.0,17.2
Rabun County Middle School,49.2,32.1,18.7
Rabun County Elementary School,50.3,39.5,10.2
Rabun County Primary School,50.9,38.8,10.2
Randolph Clay Middle School,61.2,14.1,24.7
Randolph Clay High School,61.9,17.6,20.5
Randolph County Elementary School,52.0,24.9,23.1
Cross Creek High School,59.2,25.4,15.4
Hephzibah Elementary School,25.7,36.9,37.5
Freedom Park Elementary,74.3,21.7,3.9
Wilkinson Gardens Elementary School,37.4,42.7,19.9
Deer Chase Elementary School,52.8,31.1,16.0
Lighthouse Care Center of Augusta,100.0,0.0,0.0
Pine Hill Middle School,65.4,26.3,8.4
W.S. Hornsby Middle School,78.0,14.0,8.0
Lamar - Milledge Elementary School,35.9,39.7,24.4
Meadowbrook Elementary School,45.8,35.3,18.9
Jamestown Elementary School,53.5,32.6,13.9
Goshen Elementary School,43.0,40.7,16.3
Glenn Hills Middle School,53.4,24.3,22.3
Diamond Lakes Elementary School,48.7,33.6,17.7
Richmond County Technical Career Magnet School,73.4,21.1,5.5
Willis Foreman Elementary School,52.0,31.7,16.2
Tobacco Road Elementary School,51.2,31.9,16.9
McBean Elementary School,44.1,37.4,18.5
Lake Forest Hills Elementary School,71.2,22.7,6.0
Spirit Creek Middle School,49.3,28.3,22.4
Performance Learning Center,88.9,4.0,7.1
W.S. Hornsby Elementary School,63.4,24.8,11.8
Belair K-8 School,71.4,21.8,6.7
Butler High School,49.5,24.1,26.4
Garrett Elementary School,48.4,32.6,19.1
Langford Middle School,67.5,21.1,11.4
Walker Traditional Elementary School,74.2,21.8,4.1
Hephzibah Middle School,70.3,20.1,9.6
Barton Chapel Elementary School,34.4,32.5,33.0
Copeland Elementary School,30.9,34.3,34.8
Glenn Hills Elementary School,36.1,39.7,24.2
Hephzibah High School,60.2,24.5,15.3
Merry Elementary School,49.0,32.3,18.8
Warren Road Elementary School,55.5,33.7,10.8
Bayvale Elementary School,34.2,35.9,29.9
Glenn Hills High School,59.2,19.7,21.1
Johnson Magnet,78.0,17.8,4.3
Josey High School,57.9,19.6,22.5
Blythe Elementary School,41.0,37.8,21.2
Gracewood Elementary School,41.2,41.6,17.2
Monte Sano Elementary School,48.3,30.9,20.8
Academy of Richmond County High School,70.0,20.0,10.0
Davidson Magnet School,76.4,19.0,4.6
Terrace Manor Elementary School,37.2,31.9,30.9
Dorothy Hains Elementary School,38.5,38.5,23.0
Murphey Middle School,66.6,20.8,12.6
Tutt Middle School,69.6,20.1,10.3
Laney High School,65.7,15.5,18.8
Peek's Chapel Elementary,40.4,30.2,29.5
General Ray Davis Middle School,65.6,16.0,18.4
Hicks Elementary School,35.5,33.3,31.2
Honey Creek Elementary School,42.7,33.7,23.6
Barksdale Elementary School,55.1,26.7,18.3
Sims Elementary School,32.3,25.6,42.1
Salem High School,49.1,21.0,29.9
Shoal Creek Elementary School,39.1,24.5,36.4
Lorraine Elementary School,57.1,26.4,16.5
Conyers Middle School,43.5,23.8,32.6
Hightower Trail Elementary School,43.8,25.9,30.3
Memorial Middle School,46.6,26.2,27.2
Edwards Middle School,50.9,17.3,31.8
Pine Street Elementary School,33.8,29.7,36.5
Rockdale County High School,61.6,17.3,21.1
House Elementary School,34.3,35.9,29.8
Schley Middle High School,34.5,41.4,24.1
Schley County Elementary School,55.9,35.9,8.2
Screven County Elementary School,45.2,35.3,19.5
Screven County Middle School,66.8,24.2,9.0
Screven County High School,48.6,27.4,23.9
Seminole County Middle/High School,43.6,37.2,19.1
Seminole County Elementary School,21.2,46.0,32.8
Spalding High School,37.5,23.6,39.0
Moreland Road Elementary,59.0,32.0,8.9
Carver Road Middle School,25.7,23.8,50.5
Kennedy Road Middle School,27.6,26.9,45.6
Rehoboth Road Middle School,30.4,27.3,42.3
Griffin High School,44.4,21.1,34.4
Cowan Road Elementary School,35.0,36.4,28.6
Jordan Hill Road Elementary School,52.9,30.1,17.1
Futral Road Elementary School,54.6,33.2,12.2
Cowan Road Middle School,38.1,31.3,30.6
AZ Kelsey Academy,15.2,23.9,60.9
Anne Street Elementary School,37.8,38.3,23.9
Jackson Road Elementary School,34.8,31.3,34.0
Beaverbrook Elementary School,40.7,31.8,27.5
Crescent Road Elementary School,57.1,25.9,17.0
Moore Elementary School,37.3,29.4,33.3
Orrs Elementary School,43.9,30.4,25.7
Stephens County Middle School,40.7,34.1,25.2
Toccoa Elementary School,49.3,36.7,14.1
Stephens County Fifth Grade Academy,44.0,39.7,16.2
Stephens County High School,34.7,33.0,32.3
Stewart County Middle School,50.4,16.8,32.8
Stewart County Elementary School,61.0,20.5,18.5
Stewart County High School,85.5,13.7,0.9
Sumter County Primary School,59.8,22.7,17.5
Americus Sumter High School (Old Americus-Sumter HS S),84.9,8.7,6.4
Sumter County Elementary School,52.2,26.2,21.6
Sumter County Middle School,81.7,10.4,8.0
Americus Sumter 9th Grade Academy,62.3,14.8,23.0
Furlow Charter School,51.2,31.9,16.8
Sumter County Intermediate School,68.6,20.5,10.9
Central Elementary/High School,62.0,24.6,13.4
Taliaferro County School,57.4,14.2,28.4
North Tattnall Middle School,45.8,34.2,19.9
Tattnall County High School,44.7,31.8,23.5
South Tattnall Middle School,32.3,43.8,24.0
Glennville Elementary School,48.5,40.1,11.5
Reidsville Elementary School,46.7,38.9,14.4
Taylor County Primary School,57.6,34.5,7.9
Taylor County Upper Elementary,50.3,38.5,11.1
Georgia Center,100.0,0.0,0.0
Taylor County High School,25.8,45.3,29.0
Taylor County Middle School,31.0,40.9,28.1
Telfair County Middle School,52.3,34.0,13.7
Telfair County Elementary,55.1,34.9,10.0
Telfair County High School,56.7,27.2,16.1
Telfair Alternative Preparation School,100.0,0.0,0.0
Terrell High School,83.5,16.5,0.0
Terrell Middle School,98.9,1.1,0.0
Cooper-Carver Elementary School,71.5,24.2,4.3
Bishop Hall Charter School,51.2,29.2,19.6
The Renaissance Center for Academic and Career Development,39.3,23.2,37.5
Thomas County Central High School,45.2,31.4,23.4
Cross Creek Elementary School,53.7,35.2,11.1
Thomas County Middle School,47.1,36.9,16.0
Garrison-Pilcher Elementary School,55.9,35.5,8.6
Annie Belle Clark Elementary School,29.8,40.8,29.3
G. O. Bailey Elementary School,27.3,36.4,36.2
Tift County High School,12.3,25.7,62.1
Eighth Street Middle School,26.0,32.9,41.1
J. T. Reddick Elementary School,33.2,41.2,25.5
Len Lastinger Elementary School,32.7,39.9,27.4
Northeast Middle School,20.3,26.9,52.8
Omega Elementary School,24.1,44.3,31.7
Matt Wilson Elementary School,33.0,38.5,28.5
Charles Spencer Elementary School,29.7,34.9,35.4
Toombs County Middle School,34.9,36.5,28.6
Lyons Primary School,36.8,41.9,21.3
Toombs County High School,19.2,31.4,49.4
Lyons Upper Elementary,38.3,42.4,19.3
Toombs Central Elementary School,37.2,43.9,18.9
Towns County Elementary School,47.0,41.4,11.6
Towns County Middle School,52.1,33.3,14.6
Towns County High School,45.3,34.1,20.5
Treutlen Elementary School,38.3,43.0,18.7
Treutlen Middle/High School,52.0,30.1,17.9
West Point Elementary School,41.0,40.7,18.3
Long Cane Elementary School,48.2,39.3,12.5
Gardner-Newman Middle School,54.6,33.0,12.5
Hollis Hand Elementary School,58.4,30.8,10.7
Callaway High School,53.4,26.5,20.1
Callaway Middle School,45.0,40.6,14.3
Franklin Forest Elementary,50.1,36.7,13.2
Bradfield Center - Ault Academy,82.1,14.3,3.6
Long Cane Middle School,39.9,37.5,22.6
Troup County High School,37.9,30.9,31.2
Hogansville Elementary School,51.0,41.4,7.6
Ethel W. Kight Elementary School,48.7,33.4,17.9
Clearview Elementary School,39.7,38.5,21.9
LaGrange High School,51.3,30.7,18.0
Hillcrest Elementary School,59.3,32.2,8.4
Rosemont Elementary School,54.5,37.9,7.5
Berta Weathersbee Elementary School,25.0,44.9,30.1
Turner County Middle School,48.4,31.6,20.0
Turner County Elementary School,48.5,34.5,17.0
Turner County High School,36.9,22.7,40.3
Jeffersonville Elementary,29.0,29.5,41.5
Twiggs County High School,43.4,19.5,37.1
Twiggs Middle School,64.6,24.1,11.3
Union County High School,58.9,25.6,15.5
Union County Elementary School,81.5,14.0,4.4
Union County Middle School,92.0,3.8,4.2
Union County Primary School,83.4,12.4,4.2
Woody Gap High/Elementary School,58.0,26.1,15.9
Upson-Lee Primary School,44.3,36.5,19.2
Upson-Lee High School,34.7,33.9,31.4
Upson-Lee Elementary School,49.8,37.5,12.7
Upson-Lee Middle School,40.1,37.2,22.7
Rock Spring Elementary School,60.9,30.1,9.0
Chattanooga Valley Middle School,44.7,38.4,16.8
Saddle Ridge Elementary and Middle School,53.1,35.9,11.1
LaFayette Middle School,41.2,32.3,26.5
Ridgeland High School,40.4,29.8,29.8
Rossville Elementary School,34.3,38.6,27.1
Gilbert Elementary School,38.5,39.6,21.9
LaFayette High School,54.5,21.8,23.7
Cherokee Ridge Elementary,40.6,42.2,17.2
North LaFayette Elementary School,45.4,39.2,15.5
Rossville Middle School,37.9,33.3,28.8
Fairyland Elementary School,52.4,39.4,8.1
Naomi Elementary School,45.1,41.8,13.1
Chattanooga Valley Elementary School,47.3,36.5,16.2
Stone Creek Elementary School,35.7,37.5,26.9
Atha Road Elementary School,41.3,39.5,19.2
Youth Middle School,26.8,39.5,33.7
Monroe Elementary,36.8,39.3,23.9
Walnut Grove High School,23.9,36.1,40.0
Bay Creek Elementary School,45.7,37.7,16.5
Loganville Elementary School,54.7,35.7,9.6
Carver Middle School,24.5,33.6,41.9
Loganville High School,35.7,39.8,24.4
Youth Elementary School,45.0,41.9,13.1
Monroe Area High School,24.7,34.9,40.4
Loganville Middle School,35.0,36.4,28.7
Walker Park Elementary School,43.5,42.2,14.2
Ware County High School,20.1,32.7,47.2
Williams Heights Elementary School,54.0,32.9,13.1
Waycross Middle School,43.3,37.4,19.2
Center Elementary School,49.7,30.9,19.4
Ware County Middle School,41.6,37.0,21.4
Ruskin Elementary School,41.0,45.6,13.4
Memorial Drive Elementary School,49.1,37.9,13.1
Waresboro Elementary School,40.4,39.0,20.6
Wacona Elementary School,48.7,35.6,15.7
Warren County Middle School,45.8,28.6,25.6
Warren County High School,69.1,25.3,5.6
Freeman Elementary School,38.1,21.4,40.6
T. J. Elder Middle School,42.6,32.6,24.8
Washington County High School,38.5,32.9,28.6
Ridge Road Primary School,35.3,37.3,27.4
Ridge Road Elementary School,38.3,38.2,23.5
Wayne County High School,23.4,33.8,42.8
Martha Puckett Middle School,25.2,37.2,37.6
Arthur Williams Middle School,30.4,37.4,32.2
Martha Rawls Smith Elementary School,27.4,42.8,29.8
Bacon Elementary School,33.8,41.1,25.1
Jesup Elementary School,33.9,43.9,22.2
Screven Elementary School,24.6,44.5,30.8
Odum Elementary School,26.8,45.7,27.5
Webster County Elementary/Middle School,66.8,23.3,9.9
Webster County High School,61.3,30.7,8.0
Wheeler County Elementary School,40.5,48.2,11.3
Wheeler County Middle School,42.8,42.4,14.8
Wheeler County High School,41.3,28.1,30.7
Tesnatee Gap Elementary (Old White Co. Intermediate),49.4,40.4,10.2
Mount Yonah Elementary School,53.3,40.1,6.6
White County High School,40.5,33.8,25.7
Mossy Creek Elementary School,40.4,46.6,13.1
White County Middle School,50.7,34.8,14.4
Jack P Nix Elementary School,54.5,40.0,5.5
New Hope Middle School,48.9,41.9,9.3
Coahulla Creek High School,49.4,33.1,17.5
Northwest Whitfield County High School,46.5,35.7,17.8
New Hope Elementary School,60.1,33.7,6.2
Beaverdale Elementary School,43.8,45.6,10.7
Cedar Ridge Elementary,48.3,42.8,8.9
Southeast Whitfield County High School,41.4,36.3,22.3
Eastbrook Middle School,48.7,37.2,14.1
North Whitfield Middle School,46.9,40.6,12.5
Valley Point Middle School,46.3,37.4,16.3
Antioch Elementary School,53.9,38.6,7.5
Varnell Elementary School,47.7,48.2,4.1
Cohutta Elementary School,49.8,44.5,5.7
Dawnville Elementary School,65.5,29.9,4.6
Tunnel Hill Elementary School,59.0,35.8,5.2
Dug Gap Elementary School,57.1,36.4,6.5
Valley Point Elementary School,45.1,44.7,10.2
Wilcox County Middle School,41.8,38.9,19.3
Wilcox County Elementary School,55.1,34.8,10.1
Wilcox County High School,37.0,32.2,30.8
Washington-Wilkes Primary School,57.7,38.7,3.6
Washington-Wilkes Comprehensive High School,33.1,41.0,26.0
Washington-Wilkes Elementary School,56.4,36.8,6.8
Washington-Wilkes Middle School,37.6,39.0,23.4
Wilkinson County Elementary School,62.6,35.0,2.4
Wilkinson County Middle School,94.2,1.6,4.2
Wilkinson County Primary School,78.3,18.4,3.2
Wilkinson County High School,87.7,9.7,2.6
Worth County Elementary School,34.8,42.7,22.4
Worth County High School,37.8,30.8,31.4
Worth County Middle School,44.6,40.6,14.7
Worth County Primary School,43.0,41.4,15.6
Worth County Achievement Center,30.3,30.3,39.4
Brown Middle School,11.6,17.4,71.0
Parkside Elementary School,47.8,15.7,36.5
Heritage Academy Elementary,30.5,26.9,42.6
Finch Elementary,17.9,24.0,58.1
Early College High School at Carver,32.2,18.1,49.7
Kipp Strive Academy,66.7,19.2,14.1
Springdale Park Elementary School,83.4,11.8,4.7
KIPP VISION,80.2,14.5,5.3
Kindezi,54.2,25.1,20.7
Long Middle School,14.0,16.1,69.9
Bunche Middle School,20.7,21.9,57.4
Mays High School,36.0,17.3,46.7
"Maynard H. Jackson, Jr. High School",33.2,15.5,51.3
Sylvan Hills Middle School,19.2,20.1,60.7
North Atlanta High School,53.0,21.1,25.9
Cascade Elementary School,20.5,26.2,53.3
Centennial Academy,41.3,24.8,33.8
Charles R. Drew Charter School,59.5,24.5,16.1
Atlanta Neighborhood Charter - Middle,71.9,20.0,8.1
Hillside Conant School,99.5,0.5,0.0
KIPP Atlanta Collegiate Academy,48.1,26.0,25.9
KIPP Strive Primary,57.3,23.4,19.3
KIPP Vision Primary,59.2,27.3,13.5
Kipp WAYS Primary School,42.7,31.7,25.5
Young Middle School,22.9,18.3,58.8
Price Middle School,23.2,16.2,60.6
Perkerson Elementary School,21.8,28.1,50.1
Bolton Academy,72.3,14.5,13.3
Deerwood Academy School,30.9,26.7,42.4
Burgess-Peterson Elementary School,68.3,16.2,15.4
Westside Atlanta Charter School,63.2,19.6,17.3
Booker T. Washington High School,23.3,17.9,58.9
King Middle School,27.5,16.5,56.1
APS-Forrest Hills Academy,60.5,18.4,21.1
Atlanta Classical Academy,86.7,10.7,2.6
Atlanta Neighborhood Charter - Elementary,86.4,9.4,4.2
Miles Elementary School,21.9,23.6,54.5
Charles Drew Charter School JA/SA,48.6,22.5,28.9
Bazoline E. Usher/Collier Heights Elmentary School,28.1,26.9,45.0
KIPP West Atlanta Young Scholars Academy,59.3,21.0,19.8
Boyd Elementary School,11.9,15.2,73.0
Hutchinson Elementary School,15.9,20.9,63.2
Kimberly Elementary School,17.5,27.4,55.1
Rivers Elementary School,72.3,16.5,11.2
Wesley International Academy Charter Facility,50.1,25.6,24.3
Therrell High School,37.9,19.9,42.3
Corretta Scott King Womens' Leadership Academy,27.0,22.3,50.7
B.E.S.T Academy,26.6,20.6,52.8
South Atlanta High School,19.1,16.9,64.0
Michael R. Hollis Innovation Academy,12.5,22.0,65.5
Woodson Park Academy,12.0,22.5,65.5
Tuskegee Airman Global Academy,22.1,36.0,41.9
Kindezi Old 4th Ward,47.8,22.8,29.4
John Lewis Invictus Academy,12.7,17.4,70.0
KIPP Soul Primary,25.1,45.9,29.0
Garden Hills Elementary School,58.0,25.1,16.9
Smith Elementary School,78.7,14.4,6.9
Brandon Elementary School,81.2,15.1,3.7
The John Hope-Charles Walter Hill Elementary Schools,23.0,22.7,54.3
Gideons Elementary School,23.9,24.6,51.5
Lin Elementary School,87.2,10.6,2.2
West Manor Elementary School,28.2,29.4,42.5
Beecher Hills Elementary School,55.6,25.6,18.8
Continental Colony Elementary School,28.5,26.9,44.7
Peyton Forest Elementary School,30.0,25.1,44.9
Sutton Middle School,60.7,16.7,22.6
Fickett Elementary School,28.1,26.9,45.1
Scott Elementary School,47.7,33.6,18.7
Douglass High School,31.3,18.7,50.0
M. A. Jones Elementary School,30.0,27.9,42.0
Slater Elementary School,16.9,24.4,58.7
Grady High School,56.6,18.1,25.3
Benteen Elementary School,45.7,14.6,39.8
Barack and Michelle Obama Academy,19.7,23.9,56.4
Thomasville Heights Elementary School,7.1,14.2,78.6
Dunbar Elementary School,12.6,22.3,65.0
Humphries Elementary School,18.9,25.8,55.3
F. L. Stanton Elementary School,19.1,25.0,55.9
Toomer Elementary School,35.1,21.9,43.0
Bremen High School,65.4,26.8,7.9
Bremen Middle School,62.7,32.3,5.0
Jones Elementary School,58.3,36.4,5.3
Buford Academy,64.1,30.5,5.3
Buford Middle School,47.5,33.7,18.8
Buford High School,42.3,35.0,22.7
Calhoun Middle School,49.8,37.2,13.0
Calhoun Elementary School,45.6,41.2,13.2
Calhoun High School,43.8,34.3,21.9
Carrollton Elementary School,38.7,41.1,20.3
Carrollton High School,39.6,34.4,26.0
Carrollton Jr. High School,32.5,37.6,29.9
Cartersville Primary School,54.8,36.8,8.4
Cartersville Elementary School,55.3,37.6,7.1
Cartersville Middle School,58.4,32.3,9.3
Cartersville High School,63.4,27.3,9.3
Gordon Lee Middle School,67.1,26.3,6.6
Gordon Lee High School,59.8,32.0,8.3
Chickamauga Elementary School,70.2,26.4,3.4
Commerce Primary,44.3,43.2,12.5
Commerce Middle School,48.9,38.2,12.9
Commerce High School,46.3,37.4,16.3
Commerce Elementary School,51.9,37.7,10.4
Park Creek Elementary School,60.6,35.1,4.3
Morris Innovative High School,47.4,23.7,28.9
Westwood Elementary School,64.7,31.3,4.0
Dalton Middle School,54.6,35.3,10.1
City Park Elementary School,52.1,40.5,7.4
Roan Elementary School,65.2,27.6,7.1
Dalton High School,61.6,24.9,13.5
Oakhurst Elementary School,84.4,13.4,2.2
Westchester Elementary School,95.8,2.8,1.4
Winnona Park Elementary School,89.7,9.7,0.6
Clairemont Elementary School,79.7,13.4,6.9
Renfroe Middle School,97.9,2.0,0.1
Decatur High School,84.4,10.9,4.6
Dublin Middle School,41.8,24.0,34.2
Hillcrest Elementary,48.5,25.4,26.1
Dublin High School,33.2,16.6,50.3
Susie Dasher,40.0,24.9,35.1
Moore Street Facility,98.2,1.8,0.0
New Holland Core Knowledge Academy,53.2,36.6,10.2
Gainesville Middle School,51.6,29.3,19.1
Centennial Arts Academy,46.3,37.8,16.0
Gainesville Exploration Academy,56.4,31.6,12.0
Mundy Mill Academy,58.5,32.9,8.6
Enota Multiple Intelligences Academy,54.9,31.0,14.1
Fair Street International Baccalaureate World School,48.6,37.6,13.8
Gainesville High School,34.3,26.1,39.6
Jefferson Middle School,25.6,40.2,34.2
Jefferson Academy,28.6,46.4,25.1
Jefferson High School,24.1,36.3,39.5
Jefferson Elementary School,39.8,42.7,17.5
Sawyer Road Elementary School,61.0,32.8,6.3
Marietta Center for Advanced Academics,85.6,13.1,1.3
A.L. Burruss Elementary School,65.1,25.5,9.4
Dunleith Elementary School,55.0,34.7,10.4
George W. Hartmann Center,100.0,0.0,0.0
Lockheed Elementary School,49.8,38.6,11.6
Marietta Sixth Grade Academy,41.1,35.1,23.8
Park Street Elementary School,56.1,31.9,12.0
Hickory Hills Elementary School,69.5,26.6,4.0
Mountain Education Charter High School,7.7,9.9,82.3
Odyssey Charter School,72.6,23.4,4.0
Georgia Cyber Academy,71.8,23.9,4.3
Utopian Academy for the Arts Charter School,37.3,36.9,25.8
Cherokee Charter Academy,69.2,23.2,7.6
Georgia Connections Academy,85.8,6.8,7.4
"Ivy Preparatory Academy, Inc",45.9,26.5,27.6
International Charter School of Atlanta,82.3,16.2,1.4
Scintilla Charter Academy,60.5,34.5,5.0
Georgia School for Innovation and the Classics,44.3,42.6,13.1
Dubois Integrity Academy,95.1,3.7,1.2
Coastal Plains Charter High School - Candler Campus,14.3,12.7,73.0
Statesboro STEAM Academy,95.4,4.6,0.0
Pataula Charter Academy,71.7,25.8,2.5
Fulton Leadership Academy,61.2,19.7,19.1
Atlanta Heights Charter School,47.8,23.9,28.3
Coweta Charter Academy,58.6,29.4,12.0
Cirrus Charter Academy,46.1,37.3,16.6
Southwest Georgia S.T.E.M. Charter Academy,39.6,44.6,15.8
Brookhaven Innovation Academy,59.1,25.2,15.7
Liberty Tech Charter Academy,61.6,31.0,7.4
Genesis Innovation Academy for Boys,65.5,20.1,14.4
Genesis Innovation Academy for Girls,59.2,29.1,11.7
Resurgence Hall Charter School,47.0,34.0,19.0
SAIL Charter Academy - School for Arts-Infused Learning,61.1,32.4,6.5
International Academy of Smyrna,54.3,28.8,16.9
International Charter Academy of Georgia,85.4,11.2,3.4
SLAM Academy of Atlanta,74.2,21.6,4.1
Pelham High School,62.6,28.0,9.4
Pelham City Middle School,70.0,27.2,2.8
Pelham Elementary School,80.2,18.1,1.7
Elm Street Elementary,60.4,29.5,10.1
West Central Elementary School,69.4,26.5,4.1
Rome High School,31.8,31.3,36.9
East Central Elementary School,68.1,25.8,6.0
Rome Middle School,41.0,36.4,22.7
Anna K. Davie Elementary,40.4,34.9,24.6
West End Elementary School,72.5,22.0,5.5
Social Circle Primary School,52.4,35.2,12.3
Social Circle Middle School,45.2,39.7,15.1
Social Circle Elementary School,63.4,32.5,4.2
Social Circle High School,44.6,40.4,15.0
MacIntyre Park Middle School,58.0,31.5,10.5
Thomasville High School,45.9,28.0,26.1
Jerger Elementary School,58.5,34.3,7.2
Trion Elementary School,40.2,42.7,17.2
Trion Middle School,55.2,37.6,7.2
Trion High School,46.0,39.2,14.7
Sallas Mahone Elementary,60.8,34.9,4.3
Valdosta Middle School,61.0,29.5,9.5
J. L. Lomax Elementary School,59.2,33.1,7.7
Pinevale Elementary School,51.4,37.6,11.0
Newbern Middle School,58.3,27.9,13.8
Valdosta High School,44.8,31.4,23.8
S.L. Mason Elementary School,61.5,30.2,8.4
W.G. Nunn Elementary,59.4,33.1,7.5
J. R. Trippe Middle School,76.9,17.3,5.8
Vidalia Comprehensive High School,68.8,21.3,9.9
J. D. Dickerson Primary School,46.0,37.7,16.3
Sally Dailey Meadows Elementary School,41.4,38.2,20.4
Atlanta Area School for the Deaf,35.4,28.0,36.6
Georgia Academy for the Blind,47.3,31.9,20.9
Georgia School for the Deaf,50.0,34.1,15.9
Atlanta Youth Detention Center,90.2,7.8,2.0
Augusta Youth Development Campus,60.6,26.8,12.7
Muscogee Youth Development Center,100.0,0.0,0.0
Macon Youth Development Campus,100.0,0.0,0.0
Eastman Youth Development Campus,100.0,0.0,0.0
Millegeville ITU,81.8,12.1,6.1
